tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,8768,0.0616,0.125,64,1,4,32,1,4,182,0,69632
32,8608,0.1025,0.125,64,1,4,32,1,4,182,0,69632
48,8768,0.1397,0.125,64,1,4,32,1,4,182,0,69632
64,9152,0.172,0.125,64,1,4,32,1,4,182,0,69632
80,9312,0.2022,0.125,64,1,4,32,1,4,182,0,69632
96,9440,0.2265,0.125,64,1,4,32,1,4,182,0,69632
112,9664,0.2562,0.125,64,1,4,32,1,4,182,0,69632
128,9888,0.2831,0.125,64,1,4,32,1,4,182,0,69632
144,11648,0.2702,0.125,64,1,4,32,1,4,182,0,69632
160,11712,0.2968,0.125,64,1,4,32,1,4,182,0,69632
176,11712,0.3242,0.125,64,1,4,32,1,4,182,0,69632
192,11840,0.3433,0.125,64,1,4,32,1,4,182,0,69632
208,11936,0.3736,0.125,64,1,4,32,1,4,182,0,69632
224,11968,0.4034,0.125,64,1,4,32,1,4,182,0,69632
240,11872,0.4147,0.125,64,1,4,32,1,4,182,0,69632
256,11968,0.42,0.125,64,1,4,32,1,4,182,0,69632
272,14752,0.3926,0.125,64,1,4,32,1,4,182,0,69632
288,15040,0.4288,0.125,64,1,4,32,1,4,182,0,69632
304,15104,0.4454,0.125,64,1,4,32,1,4,182,0,69632
320,14944,0.465,0.125,64,1,4,32,1,4,182,0,69632
336,16768,0.4659,0.125,64,1,4,32,1,4,182,0,69632
352,17664,0.4772,0.125,64,1,4,32,1,4,182,0,69632
368,18048,0.4836,0.125,64,1,4,32,1,4,182,0,69632
384,18720,0.4987,0.125,64,1,4,32,1,4,182,0,69632
400,21568,0.475,0.125,64,1,4,32,1,4,182,0,69632
416,22400,0.5015,0.125,64,1,4,32,1,4,182,0,69632
432,22304,0.5144,0.125,64,1,4,32,1,4,182,0,69632
448,21760,0.5379,0.125,64,1,4,32,1,4,182,0,69632
464,23360,0.5585,0.125,64,1,4,32,1,4,182,0,69632
480,24000,0.5764,0.125,64,1,4,32,1,4,182,0,69632
496,25184,0.5658,0.125,64,1,4,32,1,4,182,0,69632
512,25984,0.5829,0.125,64,1,4,32,1,4,182,0,69632
528,28736,0.5502,0.125,64,1,4,32,1,4,182,0,69632
544,28608,0.5645,0.125,64,1,4,32,1,4,182,0,69632
560,30016,0.5761,0.125,64,1,4,32,1,4,182,0,69632
576,30112,0.5912,0.125,64,1,4,32,1,4,182,0,69632
592,30016,0.6108,0.125,64,1,4,32,1,4,182,0,69632
608,30464,0.622,0.125,64,1,4,32,1,4,182,0,69632
624,31616,0.627,0.125,64,1,4,32,1,4,182,0,69632
640,31808,0.6346,0.125,64,1,4,32,1,4,182,0,69632
656,34720,0.5888,0.125,64,1,4,32,1,4,182,0,69632
672,35008,0.6168,0.125,64,1,4,32,1,4,182,0,69632
688,35872,0.6158,0.125,64,1,4,32,1,4,182,0,69632
704,35904,0.637,0.125,64,1,4,32,1,4,182,0,69632
720,36608,0.6182,0.125,64,1,4,32,1,4,182,0,69632
736,37664,0.6482,0.125,64,1,4,32,1,4,182,0,69632
752,37792,0.6471,0.125,64,1,4,32,1,4,182,0,69632
768,39072,0.6504,0.125,64,1,4,32,1,4,182,0,69632
784,40448,0.6433,0.125,64,1,4,32,1,4,182,0,69632
800,41248,0.6534,0.125,64,1,4,32,1,4,182,0,69632
816,42080,0.6708,0.125,64,1,4,32,1,4,182,0,69632
832,41696,0.6665,0.125,64,1,4,32,1,4,182,0,69632
848,42400,0.6769,0.125,64,1,4,32,1,4,182,0,69632
864,43040,0.6968,0.125,64,1,4,32,1,4,182,0,69632
880,43328,0.6976,0.125,64,1,4,32,1,4,182,0,69632
896,43904,0.694,0.125,64,1,4,32,1,4,182,0,69632
912,45632,0.6592,0.125,64,1,4,32,1,4,182,0,69632
928,45952,0.679,0.125,64,1,4,32,1,4,182,0,69632
944,47360,0.6862,0.125,64,1,4,32,1,4,182,0,69632
960,46880,0.6885,0.125,64,1,4,32,1,4,182,0,69632
976,46368,0.6951,0.125,64,1,4,32,1,4,182,0,69632
992,48192,0.7222,0.125,64,1,4,32,1,4,182,0,69632
1008,49408,0.7204,0.125,64,1,4,32,1,4,182,0,69632
1024,49856,0.7308,0.125,64,1,4,32,1,4,182,0,69632
1040,49568,0.6896,0.125,64,1,4,32,1,4,182,0,69632
1056,52672,0.705,0.125,64,1,4,32,1,4,182,0,69632
1072,51648,0.7133,0.125,64,1,4,32,1,4,182,0,69632
1088,51872,0.7091,0.125,64,1,4,32,1,4,182,0,69632
1104,52832,0.7146,0.125,64,1,4,32,1,4,182,0,69632
1120,53728,0.7186,0.125,64,1,4,32,1,4,182,0,69632
1136,54368,0.7102,0.125,64,1,4,32,1,4,182,0,69632
1152,54656,0.7237,0.125,64,1,4,32,1,4,182,0,69632
1168,56064,0.7049,0.125,64,1,4,32,1,4,182,0,69632
1184,56928,0.7106,0.125,64,1,4,32,1,4,182,0,69632
1200,57056,0.7324,0.125,64,1,4,32,1,4,182,0,69632
1216,57408,0.7307,0.125,64,1,4,32,1,4,182,0,69632
1232,58432,0.7518,0.125,64,1,4,32,1,4,182,0,69632
1248,58688,0.7568,0.125,64,1,4,32,1,4,182,0,69632
1264,58144,0.7492,0.125,64,1,4,32,1,4,182,0,69632
1280,59008,0.7578,0.125,64,1,4,32,1,4,182,0,69632
1296,61728,0.7271,0.125,64,1,4,32,1,4,182,0,69632
1312,62112,0.7478,0.125,64,1,4,32,1,4,182,0,69632
1328,62656,0.7493,0.125,64,1,4,32,1,4,182,0,69632
1344,62432,0.7502,0.125,64,1,4,32,1,4,182,0,69632
1360,63232,0.7646,0.125,64,1,4,32,1,4,182,0,69632
1376,63264,0.7639,0.125,64,1,4,32,1,4,182,0,69632
1392,63136,0.7675,0.125,64,1,4,32,1,4,182,0,69632
1408,63392,0.7687,0.125,64,1,4,32,1,4,182,0,69632
1424,65856,0.7606,0.125,64,1,4,32,1,4,182,0,69632
1440,65632,0.7642,0.125,64,1,4,32,1,4,182,0,69632
1456,66592,0.769,0.125,64,1,4,32,1,4,182,0,69632
1472,66656,0.7695,0.125,64,1,4,32,1,4,182,0,69632
1488,67040,0.7683,0.125,64,1,4,32,1,4,182,0,69632
1504,68576,0.7588,0.125,64,1,4,32,1,4,182,0,69632
1520,68352,0.7705,0.125,64,1,4,32,1,4,182,0,69632
1536,68640,0.776,0.125,64,1,4,32,1,4,182,0,69632
1552,71136,0.7629,0.125,64,1,4,32,1,4,182,0,69632
1568,70112,0.7723,0.125,64,1,4,32,1,4,182,0,69632
1584,71072,0.7744,0.125,64,1,4,32,1,4,182,0,69632
1600,71488,0.7699,0.125,64,1,4,32,1,4,182,0,69632
1616,71872,0.7898,0.125,64,1,4,32,1,4,182,0,69632
1632,71584,0.7792,0.125,64,1,4,32,1,4,182,0,69632
1648,72288,0.7875,0.125,64,1,4,32,1,4,182,0,69632
1664,73248,0.8035,0.125,64,1,4,32,1,4,182,0,69632
1680,74624,0.763,0.125,64,1,4,32,1,4,182,0,69632
1696,75040,0.757,0.125,64,1,4,32,1,4,182,0,69632
1712,76320,0.7639,0.125,64,1,4,32,1,4,182,0,69632
1728,76192,0.7538,0.125,64,1,4,32,1,4,182,0,69632
1744,76544,0.7942,0.125,64,1,4,32,1,4,182,0,69632
1760,76384,0.803,0.125,64,1,4,32,1,4,182,0,69632
1776,77792,0.8044,0.125,64,1,4,32,1,4,182,0,69632
1792,78656,0.7751,0.125,64,1,4,32,1,4,182,0,69632
1808,79072,0.7906,0.125,64,1,4,32,1,4,182,0,69632
1824,80288,0.784,0.125,64,1,4,32,1,4,182,0,69632
1840,80256,0.7776,0.125,64,1,4,32,1,4,182,0,69632
1856,79328,0.7909,0.125,64,1,4,32,1,4,182,0,69632
1872,80448,0.7954,0.125,64,1,4,32,1,4,182,0,69632
1888,80800,0.7858,0.125,64,1,4,32,1,4,182,0,69632
1904,82080,0.787,0.125,64,1,4,32,1,4,182,0,69632
1920,82208,0.7937,0.125,64,1,4,32,1,4,182,0,69632
1936,84032,0.776,0.125,64,1,4,32,1,4,182,0,69632
1952,83840,0.7954,0.125,64,1,4,32,1,4,182,0,69632
1968,84704,0.7932,0.125,64,1,4,32,1,4,182,0,69632
1984,84352,0.7974,0.125,64,1,4,32,1,4,182,0,69632
2000,85760,0.791,0.125,64,1,4,32,1,4,182,0,69632
2016,86528,0.7956,0.125,64,1,4,32,1,4,182,0,69632
2032,86976,0.8,0.125,64,1,4,32,1,4,182,0,69632
2048,87168,0.8083,0.125,64,1,4,32,1,4,182,0,69632
2064,89024,0.7932,0.125,64,1,4,32,1,4,182,0,69632
2080,89408,0.7878,0.125,64,1,4,32,1,4,182,0,69632
2096,89760,0.8049,0.125,64,1,4,32,1,4,182,0,69632
2112,90464,0.8024,0.125,64,1,4,32,1,4,182,0,69632
2128,89056,0.8126,0.125,64,1,4,32,1,4,182,0,69632
2144,90336,0.8188,0.125,64,1,4,32,1,4,182,0,69632
2160,90624,0.8023,0.125,64,1,4,32,1,4,182,0,69632
2176,90912,0.8156,0.125,64,1,4,32,1,4,182,0,69632
2192,93248,0.8029,0.125,64,1,4,32,1,4,182,0,69632
2208,92032,0.7965,0.125,64,1,4,32,1,4,182,0,69632
2224,94592,0.8035,0.125,64,1,4,32,1,4,182,0,69632
2240,94112,0.8191,0.125,64,1,4,32,1,4,182,0,69632
2256,94752,0.802,0.125,64,1,4,32,1,4,182,0,69632
2272,95424,0.8167,0.125,64,1,4,32,1,4,182,0,69632
2288,95072,0.8153,0.125,64,1,4,32,1,4,182,0,69632
2304,97856,0.8101,0.125,64,1,4,32,1,4,182,0,69632
2320,97504,0.8097,0.125,64,1,4,32,1,4,182,0,69632
2336,97984,0.8228,0.125,64,1,4,32,1,4,182,0,69632
2352,99040,0.8044,0.125,64,1,4,32,1,4,182,0,69632
2368,98752,0.8181,0.125,64,1,4,32,1,4,182,0,69632
2384,99072,0.8181,0.125,64,1,4,32,1,4,182,0,69632
2400,99136,0.8242,0.125,64,1,4,32,1,4,182,0,69632
2416,100800,0.8238,0.125,64,1,4,32,1,4,182,0,69632
2432,100256,0.8252,0.125,64,1,4,32,1,4,182,0,69632
2448,101760,0.796,0.125,64,1,4,32,1,4,182,0,69632
2464,102560,0.8134,0.125,64,1,4,32,1,4,182,0,69632
2480,102240,0.8001,0.125,64,1,4,32,1,4,182,0,69632
2496,103616,0.8145,0.125,64,1,4,32,1,4,182,0,69632
2512,102944,0.8316,0.125,64,1,4,32,1,4,182,0,69632
2528,102912,0.8136,0.125,64,1,4,32,1,4,182,0,69632
2544,104384,0.8295,0.125,64,1,4,32,1,4,182,0,69632
2560,105408,0.8294,0.125,64,1,4,32,1,4,182,0,69632
