tokens,latency_ns
16,129344
32,136160
48,134176
64,136768
80,128416
96,128352
112,127488
128,123808
144,219936
160,196032
176,202656
192,203808
208,180704
224,172064
240,162976
256,159072
272,276768
288,295392
304,296288
320,288416
336,267488
352,254592
368,246496
384,236192
400,339392
416,338720
432,335264
448,338400
464,304512
480,292384
496,289216
512,284384
528,393952
544,397824
560,397728
576,407808
592,379744
608,375232
624,381856
640,374208
656,435168
672,424352
688,440320
704,439872
720,421600
736,417376
752,417216
768,417376
784,503840
800,513888
816,498912
832,509504
848,479296
864,472224
880,463776
896,459648
912,543136
928,547008
944,545984
960,529056
976,511264
992,501920
1008,495712
1024,494368
1040,596576
1056,584064
1072,592896
1088,585920
1104,568448
1120,567712
1136,566528
1152,561024
1168,621728
1184,621760
1200,617472
1216,618592
1232,609056
1248,603168
1264,600416
1280,601472
1296,657024
1312,667136
1328,664544
1344,686912
1360,673152
1376,661568
1392,667520
1408,668000
1424,712352
1440,731968
1456,733120
1472,716512
1488,711296
1504,716960
1520,706848
1536,710112
1552,779904
1568,780768
1584,780960
1600,781664
1616,780512
1632,782016
1648,784448
1664,782784
1680,799424
1696,790336
1712,789440
1728,792352
1744,795328
1760,787392
1776,790464
1792,789088
1808,857760
1824,858848
1840,866304
1856,861728
1872,860128
1888,863552
1904,863712
1920,862016
1936,900928
1952,904384
1968,907040
1984,903456
2000,907072
2016,905664
2032,905504
2048,906624
2064,977824
2080,976832
2096,976736
2112,981792
2128,980704
2144,976352
2160,976864
2176,980480
2192,1046400
2208,1059392
2224,1051040
2240,1058464
2256,1042144
2272,1040384
2288,1029248
2304,1031680
2320,1211264
2336,1181024
2352,1195104
2368,1187680
2384,1130944
2400,1142560
2416,1100576
2432,1092416
2448,1270048
2464,1233536
2480,1234688
2496,1192576
2512,1218016
2528,1153760
2544,1162560
2560,1127232
2576,1301120
2592,1318976
2608,1296608
2624,1320000
2640,1249152
2656,1238624
2672,1195904
2688,1198848
2704,1342752
2720,1342240
