tokens,latency_ns
16,41536
32,35200
48,35968
64,36096
80,36160
96,36192
112,35200
128,35744
144,46336
160,44288
176,44384
192,45632
208,43520
224,41504
240,39296
256,38912
272,69280
288,63584
304,64704
320,64800
336,62432
352,60544
368,58816
384,57984
400,74560
416,69312
432,69856
448,70464
464,68768
480,66976
496,62976
512,60608
528,84384
544,95936
560,89824
576,92896
592,87584
608,87328
624,87072
640,87968
656,93120
672,99616
688,97504
704,100256
720,96928
736,94336
752,90912
768,91392
784,118464
800,126016
816,122816
832,124448
848,118784
864,116640
880,116096
896,116544
912,126560
928,132832
944,127744
960,128000
976,120032
992,120096
1008,118592
1024,119328
1040,140672
1056,137248
1072,141952
1088,135648
1104,135328
1120,132768
1136,135808
1152,136864
1168,145024
1184,144000
1200,140352
1216,139168
1232,145088
1248,145152
1264,140768
1280,140768
1296,154912
1312,154688
1328,154496
1344,154368
1360,154688
1376,155616
1392,155072
1408,155904
1424,160512
1440,157216
1456,157888
1472,157632
1488,158080
1504,159424
1520,158080
1536,158176
1552,177024
1568,177024
1584,177248
1600,180352
1616,180160
1632,182048
1648,182368
1664,181824
1680,183488
1696,184224
1712,184576
1728,183904
1744,184768
1760,184736
1776,184800
1792,186112
1808,204832
1824,205344
1840,204192
1856,206400
1872,205600
1888,206016
1904,205824
1920,206656
1936,207584
1952,206688
1968,205824
1984,207616
2000,208672
2016,208320
2032,209056
2048,207840
2064,225312
2080,224992
2096,226144
2112,225920
2128,225888
2144,227936
2160,227264
2176,226976
2192,235648
2208,240832
2224,237120
2240,236448
2256,232384
2272,233312
2288,232704
2304,232288
2320,250240
2336,260352
2352,262048
2368,254304
2384,266176
2400,254752
2416,256576
2432,256832
2448,267776
2464,281472
2480,270272
2496,281088
2512,272288
2528,262848
2544,259808
2560,264000
2576,296160
2592,276928
2608,281056
2624,282048
2640,281088
2656,279840
2672,283264
2688,282592
2704,295328
2720,288896
2736,291968
2752,289760
2768,290560
2784,288032
2800,288736
2816,290688
2832,315200
2848,305216
2864,304128
2880,304896
2896,312672
2912,306048
2928,307968
2944,307616
2960,332224
2976,313728
2992,322944
3008,321856
3024,320960
3040,315744
3056,315744
3072,315808
3088,331328
3104,330048
3120,332992
3136,330240
3152,329952
3168,328992
3184,334688
3200,338240
3216,353312
3232,342112
3248,338784
3264,338400
3280,342656
3296,337088
3312,349280
3328,350560
3344,366208
3360,364736
3376,358304
3392,359456
3408,360384
3424,356608
3440,359264
3456,360512
3472,368384
3488,367200
3504,375456
3520,376544
3536,374208
3552,374400
3568,365856
3584,366400
3600,398816
3616,379680
3632,382336
3648,383808
3664,392640
3680,394112
3696,390848
3712,391616
3728,409760
3744,405312
3760,408288
3776,408448
3792,407680
3808,408736
3824,408800
3840,405120
3856,419328
3872,416544
3888,415776
3904,423232
3920,418336
3936,419072
3952,415872
3968,417216
3984,433920
4000,430688
4016,430784
4032,434080
4048,435232
4064,436192
4080,439488
4096,440160
4112,454624
4128,464608
4144,455008
4160,462048
4176,439712
4192,435872
4208,440096
4224,423680
4240,446976
4256,458624
4272,446624
4288,447360
4304,458080
4320,458464
4336,463616
4352,461632
4368,469632
4384,469184
4400,467712
4416,462112
4432,468928
4448,452736
4464,446496
4480,457888
4496,490080
4512,487296
4528,503616
4544,487808
4560,491744
4576,475744
4592,466336
4608,468512
4624,489248
4640,502816
4656,505152
4672,489184
4688,488992
4704,489728
4720,474368
4736,491968
4752,531424
4768,521728
4784,511200
4800,517152
4816,495584
4832,495872
4848,526720
4864,513984
4880,527328
4896,506624
4912,517440
4928,522400
4944,516864
4960,522144
4976,518816
4992,516384
5008,547872
5024,552928
5040,552512
5056,529280
5072,567392
5088,566944
5104,569600
5120,537792
5136,531104
5152,544512
5168,546528
5184,532480
5200,572736
5216,571968
5232,572608
5248,544608
5264,559968
5280,565504
5296,568384
5312,550208
5328,579712
5344,583168
5360,581344
5376,600288
5392,611296
5408,573568
5424,601792
5440,600448
5456,570560
5472,570944
5488,589536
5504,567232
5520,574336
5536,578016
5552,575968
5568,577504
5584,576864
5600,579040
5616,580256
5632,574976
5648,608384
5664,609632
5680,591264
5696,598112
5712,594368
5728,593760
5744,595808
5760,594592
5776,619904
5792,590560
5808,645728
5824,643040
5840,607520
5856,644192
5872,643360
5888,609728
5904,646880
5920,625984
5936,620800
5952,622784
5968,662816
5984,667904
6000,625088
6016,646848
6032,665952
6048,645984
6064,643360
6080,690368
6096,683552
6112,639520
6128,645440
6144,640928
6160,667552
6176,651200
6192,659968
6208,662304
6224,635104
6240,636864
6256,681376
6272,681856
6288,696960
6304,673920
6320,672512
6336,672800
6352,651552
6368,662176
6384,663264
6400,669056
6416,666784
6432,689664
6448,689888
6464,689248
6480,664352
6496,660768
6512,688832
6528,689792
6544,696512
6560,702688
6576,716192
6592,719040
6608,693920
6624,679456
6640,725248
6656,729408
6672,721184
6688,710400
6704,705920
6720,722304
6736,720544
6752,687328
6768,687584
6784,753792
6800,757312
6816,735904
6832,698784
6848,715008
6864,753216
6880,729152
6896,730592
6912,698688
6928,721408
6944,782944
6960,763808
6976,754080
6992,719424
7008,710848
7024,759968
7040,755648
7056,744384
7072,727712
7088,721888
7104,711904
7120,769920
7136,771488
7152,736096
7168,712320
7184,760992
7200,740416
7216,783392
7232,787904
7248,751072
7264,728768
7280,764704
7296,766592
7312,799968
7328,779040
7344,764160
7360,746560
7376,775392
7392,754144
7408,808640
7424,783136
7440,794656
7456,761056
7472,766464
7488,752736
7504,816352
7520,805728
7536,795456
7552,793568
7568,772192
7584,757472
7600,783680
7616,829088
7632,848096
7648,835552
7664,834944
7680,814816
7696,795424
7712,771808
7728,777728
7744,821888
7760,819744
7776,864320
7792,843680
7808,815840
7824,825632
7840,798912
7856,797056
7872,799712
7888,815616
7904,858112
7920,872736
7936,881824
7952,872832
7968,875840
7984,845952
8000,832768
8016,807872
8032,804352
8048,798752
8064,836352
8080,871904
8096,883776
8112,883136
8128,899904
8144,893568
8160,882144
8176,862688
8192,866848
