tokens,latency_ns
16,48384
32,46560
48,45920
64,45920
80,45792
96,46720
112,46720
128,47072
144,47168
160,47808
176,47712
192,47648
208,47584
224,48000
240,47520
256,47904
272,51296
288,49024
304,48544
320,49408
336,49696
352,49664
368,49088
384,49824
400,51776
416,50720
432,50592
448,50432
464,50656
480,50528
496,50496
512,51232
528,55232
544,58688
560,57632
576,57696
592,57312
608,58048
624,54368
640,54720
656,73696
672,77696
688,75360
704,79712
720,77216
736,75968
752,75968
768,76224
784,79328
800,83648
816,82112
832,81824
848,80672
864,80992
880,81472
896,79872
912,84800
928,89088
944,89248
960,89248
976,85312
992,85600
1008,83328
1024,82304
1040,87712
1056,85280
1072,94816
1088,95232
1104,92896
1120,95648
1136,92128
1152,92960
1168,100704
1184,96128
1200,97952
1216,99808
1232,96128
1248,94048
1264,96192
1280,91392
1296,102432
1312,91520
1328,93248
1344,92864
1360,92832
1376,93312
1392,94240
1408,94080
1424,116864
1440,118240
1456,112896
1472,113600
1488,112832
1504,114016
1520,113760
1536,114464
1552,113504
1568,114208
1584,113664
1600,117632
1616,117248
1632,117376
1648,117600
1664,118240
1680,117632
1696,123008
1712,118112
1728,120096
1744,120896
1760,121472
1776,120864
1792,121088
1808,121152
1824,120992
1840,121440
1856,123200
1872,123712
1888,122976
1904,124032
1920,123648
1936,123840
1952,124544
1968,124352
1984,124192
2000,127072
2016,126688
2032,126720
2048,127328
2064,145472
2080,146944
2096,145984
2112,146912
2128,151840
2144,152640
2160,152736
2176,154976
2192,154272
2208,155744
2224,154336
2240,155456
2256,155488
2272,157088
2288,155968
2304,156352
2320,157120
2336,156064
2352,157056
2368,162944
2384,157824
2400,158944
2416,158016
2432,158496
2448,158368
2464,159392
2480,159040
2496,159488
2512,159872
2528,160448
2544,160800
2560,161472
2576,161408
2592,167456
2608,161472
2624,165600
2640,161376
2656,163936
2672,164032
2688,165632
2704,166592
2720,173792
2736,167968
2752,168992
2768,166176
2784,166944
2800,167712
2816,169088
2832,186112
2848,187616
2864,187104
2880,187104
2896,188896
2912,186688
2928,189632
2944,188768
2960,189888
2976,189632
2992,189216
3008,193600
3024,191136
3040,191648
3056,192160
3072,191584
3088,204800
3104,209248
3120,204832
3136,202208
3152,201920
3168,194976
3184,200832
3200,197088
3216,197728
3232,198976
3248,199648
3264,201152
3280,202144
3296,199776
3312,200640
3328,202912
3344,206240
3360,203104
3376,203072
3392,203520
3408,203968
3424,204128
3440,203840
3456,204736
3472,222048
3488,223936
3504,223392
3520,223776
3536,221472
3552,225216
3568,222848
3584,224224
3600,226688
3616,227872
3632,226368
3648,227680
3664,226080
3680,226944
3696,226496
3712,228800
3728,238752
3744,232960
3760,242912
3776,236224
3792,232544
3808,234368
3824,234048
3840,232416
3856,240672
3872,234272
3888,236064
3904,245600
3920,240288
3936,237312
3952,236928
3968,240544
3984,252960
4000,246240
4016,248000
4032,242752
4048,247488
4064,241120
4080,240512
4096,241536
4112,260544
4128,248192
4144,256128
4160,253536
4176,247616
4192,244032
4208,242368
4224,243264
4240,258336
4256,260832
4272,260032
4288,261088
4304,261280
4320,263072
4336,261536
4352,263392
4368,264224
4384,266656
4400,265120
4416,266368
4432,265248
4448,267424
4464,265984
4480,269312
4496,270592
4512,267712
4528,268256
4544,268256
4560,269600
4576,269824
4592,269856
4608,269888
4624,272896
4640,271904
4656,272416
4672,273344
4688,270976
4704,273056
4720,271520
4736,272928
4752,282912
4768,275776
4784,278208
4800,274976
4816,277280
4832,276192
4848,275424
4864,276832
4880,295168
4896,297472
4912,296256
4928,296384
4944,298080
4960,295488
4976,302624
4992,300448
5008,306112
5024,305344
5040,307648
5056,300704
5072,298144
5088,307040
5104,303904
5120,302016
5136,316640
5152,307136
5168,314656
5184,305504
5200,306944
5216,306400
5232,307904
5248,311552
5264,304640
5280,306944
5296,309024
5312,308416
5328,308192
5344,306432
5360,307776
5376,308000
5392,309888
5408,314560
5424,313440
5440,312960
5456,312160
5472,312832
5488,312704
5504,311808
5520,311488
5536,329952
5552,320576
5568,329984
5584,316480
5600,315584
5616,315968
5632,319776
5648,333152
5664,332512
5680,336800
5696,337248
5712,337184
5728,333920
5744,332384
5760,335776
5776,338976
5792,339840
5808,337792
5824,341440
5840,337472
5856,338624
5872,339488
5888,339168
5904,345568
5920,348320
5936,344896
5952,346336
5968,347296
5984,345824
6000,344800
6016,347072
6032,344320
6048,347616
6064,348128
6080,350272
6096,347456
6112,349536
6128,348224
6144,349760
6160,353568
6176,356320
6192,354080
6208,356256
6224,354752
6240,354944
6256,354144
6272,351648
6288,368256
6304,366176
6320,368064
6336,369888
6352,368704
6368,369248
6384,367424
6400,368448
6416,370336
6432,374336
6448,373920
6464,374496
6480,375168
6496,378144
6512,377504
6528,376160
6544,379520
6560,380384
6576,379712
6592,380576
6608,379424
6624,377760
6640,380736
6656,379904
6672,381600
6688,382304
6704,379456
6720,383968
6736,385344
6752,383872
6768,383776
6784,385888
6800,387904
6816,387456
6832,386880
6848,390528
6864,388000
6880,384608
