tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,12768,0.0334,0.125,1,8,16,128,1,2,126,0,145024
32,13664,0.0473,0.125,1,8,16,128,1,2,126,0,145024
48,12768,0.0609,0.125,1,8,16,128,1,2,126,0,145024
64,13440,0.075,0.125,1,8,16,128,1,2,126,0,145024
80,13184,0.0897,0.125,1,8,16,128,1,2,126,0,145024
96,13088,0.0989,0.125,1,8,16,128,1,2,126,0,145024
112,13824,0.1149,0.125,1,8,16,128,1,2,126,0,145024
128,13952,0.1255,0.125,1,8,16,128,1,2,126,0,145024
144,15520,0.1377,0.125,1,8,16,128,1,2,126,0,145024
160,14816,0.1484,0.125,1,8,16,128,1,2,126,0,145024
176,15264,0.1548,0.125,1,8,16,128,1,2,126,0,145024
192,15360,0.1713,0.125,1,8,16,128,1,2,126,0,145024
208,15232,0.1755,0.125,1,8,16,128,1,2,126,0,145024
224,15872,0.1906,0.125,1,8,16,128,1,2,126,0,145024
240,16000,0.1985,0.125,1,8,16,128,1,2,126,0,145024
256,22912,0.1449,0.125,2,8,16,128,1,2,126,0,145024
272,25312,0.1508,0.125,2,8,16,128,1,2,126,0,145024
288,25216,0.1605,0.125,2,8,16,128,1,2,126,0,145024
304,24832,0.164,0.125,2,8,16,128,1,2,126,0,145024
320,24960,0.1772,0.125,2,8,16,128,1,2,126,0,145024
336,25632,0.1832,0.125,2,8,16,128,1,2,126,0,145024
352,25184,0.1878,0.125,2,8,16,128,1,2,126,0,145024
368,24896,0.1983,0.125,2,8,16,128,1,2,126,0,145024
384,28192,0.1762,0.125,3,8,16,128,1,2,126,0,145024
400,29312,0.1849,0.125,3,8,16,128,1,2,126,0,145024
416,29152,0.193,0.125,3,8,16,128,1,2,126,0,145024
432,29984,0.1983,0.125,3,8,16,128,1,2,126,0,145024
448,28896,0.2006,0.125,3,8,16,128,1,2,126,0,145024
464,30176,0.21,0.125,3,8,16,128,1,2,126,0,145024
480,29888,0.2225,0.125,3,8,16,128,1,2,126,0,145024
496,30016,0.2226,0.125,3,8,16,128,1,2,126,0,145024
512,31296,0.2055,0.125,4,8,16,128,1,2,126,0,145024
528,35168,0.2104,0.125,4,8,16,128,1,2,126,0,145024
544,35584,0.2132,0.125,4,8,16,128,1,2,126,0,145024
560,35936,0.2219,0.125,4,8,16,128,1,2,126,0,145024
576,35584,0.2288,0.125,4,8,16,128,1,2,126,0,145024
592,36320,0.2328,0.125,4,8,16,128,1,2,126,0,145024
608,36192,0.2388,0.125,4,8,16,128,1,2,126,0,145024
624,36128,0.2436,0.125,4,8,16,128,1,2,126,0,145024
640,37888,0.2306,0.125,5,8,16,128,1,2,126,0,145024
656,38720,0.2372,0.125,5,8,16,128,1,2,126,0,145024
672,38400,0.2399,0.125,5,8,16,128,1,2,126,0,145024
688,38912,0.251,0.125,5,8,16,128,1,2,126,0,145024
704,38784,0.2472,0.125,5,8,16,128,1,2,126,0,145024
720,39104,0.2577,0.125,5,8,16,128,1,2,126,0,145024
