tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,52704,0.0945,0.125,128,1,8,32,1,4,180,0,69632
32,52415,0.1712,0.125,128,1,8,32,1,4,180,0,69632
48,53920,0.2416,0.125,128,1,8,32,1,4,180,0,69632
64,56128,0.3102,0.125,128,1,8,32,1,4,180,0,69632
80,62080,0.3712,0.125,128,1,8,32,1,4,180,0,69632
96,63488,0.4291,0.125,128,1,8,32,1,4,180,0,69632
112,66016,0.4766,0.125,128,1,8,32,1,4,180,0,69632
128,68704,0.519,0.125,128,1,8,32,1,4,180,0,69632
144,82432,0.4881,0.125,128,1,8,32,1,4,180,0,69632
160,83904,0.5354,0.125,128,1,8,32,1,4,180,0,69632
176,87040,0.5777,0.125,128,1,8,32,1,4,180,0,69632
192,88512,0.6172,0.125,128,1,8,32,1,4,180,0,69632
208,92575,0.6443,0.125,128,1,8,32,1,4,180,0,69632
224,96159,0.6786,0.125,128,1,8,32,1,4,180,0,69632
240,99552,0.6951,0.125,128,1,8,32,1,4,180,0,69632
256,103648,0.711,0.125,128,1,8,32,1,4,180,0,69632
272,116256,0.6757,0.125,128,1,8,32,1,4,180,0,69632
288,118304,0.7067,0.125,128,1,8,32,1,4,180,0,69632
304,120799,0.7284,0.125,128,1,8,32,1,4,180,0,69632
320,123711,0.7403,0.125,128,1,8,32,1,4,180,0,69632
336,125888,0.7594,0.125,128,1,8,32,1,4,180,0,69632
352,130912,0.7633,0.125,128,1,8,32,1,4,180,0,69632
368,134240,0.7768,0.125,128,1,8,32,1,4,180,0,69632
384,139584,0.7938,0.125,128,1,8,32,1,4,180,0,69632
400,151296,0.7497,0.125,128,1,8,32,1,4,180,0,69632
416,154944,0.7541,0.125,128,1,8,32,1,4,180,0,69632
432,155648,0.771,0.125,128,1,8,32,1,4,180,0,69632
448,159008,0.7731,0.125,128,1,8,32,1,4,180,0,69632
464,164735,0.7742,0.125,128,1,8,32,1,4,180,0,69632
480,169952,0.7888,0.125,128,1,8,32,1,4,180,0,69632
496,172992,0.7883,0.125,128,1,8,32,1,4,180,0,69632
512,176032,0.7863,0.125,128,1,8,32,1,4,180,0,69632
528,185152,0.7768,0.125,128,1,8,32,1,4,180,0,69632
544,187808,0.7918,0.125,128,1,8,32,1,4,180,0,69632
560,191840,0.8042,0.125,128,1,8,32,1,4,180,0,69632
576,194720,0.81,0.125,128,1,8,32,1,4,180,0,69632
592,198432,0.8099,0.125,128,1,8,32,1,4,180,0,69632
608,202624,0.8155,0.125,128,1,8,32,1,4,180,0,69632
624,205568,0.8252,0.125,128,1,8,32,1,4,180,0,69632
640,208799,0.8329,0.125,128,1,8,32,1,4,180,0,69632
656,219327,0.8202,0.125,128,1,8,32,1,4,180,0,69632
672,224384,0.8305,0.125,128,1,8,32,1,4,180,0,69632
688,226656,0.8328,0.125,128,1,8,32,1,4,180,0,69632
704,227744,0.8411,0.125,128,1,8,32,1,4,180,0,69632
720,235392,0.8396,0.125,128,1,8,32,1,4,180,0,69632
736,237280,0.846,0.125,128,1,8,32,1,4,180,0,69632
752,240512,0.8483,0.125,128,1,8,32,1,4,180,0,69632
768,244480,0.857,0.125,128,1,8,32,1,4,180,0,69632
784,256576,0.8361,0.125,128,1,8,32,1,4,180,0,69632
800,259487,0.8447,0.125,128,1,8,32,1,4,180,0,69632
816,260544,0.8404,0.125,128,1,8,32,1,4,180,0,69632
832,265984,0.8569,0.125,128,1,8,32,1,4,180,0,69632
848,269792,0.8582,0.125,128,1,8,32,1,4,180,0,69632
864,272480,0.8624,0.125,128,1,8,32,1,4,180,0,69632
880,280512,0.8643,0.125,128,1,8,32,1,4,180,0,69632
896,280928,0.8567,0.125,128,1,8,32,1,4,180,0,69632
912,294720,0.8442,0.125,128,1,8,32,1,4,180,0,69632
928,300799,0.8401,0.125,128,1,8,32,1,4,180,0,69632
944,298912,0.8518,0.125,128,1,8,32,1,4,180,0,69632
960,304160,0.8475,0.125,128,1,8,32,1,4,180,0,69632
976,314495,0.8525,0.125,128,1,8,32,1,4,180,0,69632
992,317312,0.8487,0.125,128,1,8,32,1,4,180,0,69632
1008,320096,0.8528,0.125,128,1,8,32,1,4,180,0,69632
1024,326559,0.8464,0.125,128,1,8,32,1,4,180,0,69632
1040,329696,0.8518,0.125,128,1,8,32,1,4,180,0,69632
1056,334431,0.853,0.125,128,1,8,32,1,4,180,0,69632
1072,344032,0.8516,0.125,128,1,8,32,1,4,180,0,69632
1088,340768,0.8634,0.125,128,1,8,32,1,4,180,0,69632
1104,344896,0.8695,0.125,128,1,8,32,1,4,180,0,69632
1120,348959,0.8508,0.125,128,1,8,32,1,4,180,0,69632
1136,350944,0.8451,0.125,128,1,8,32,1,4,180,0,69632
1152,361471,0.8477,0.125,128,1,8,32,1,4,180,0,69632
1168,368672,0.8617,0.125,128,1,8,32,1,4,180,0,69632
1184,382175,0.8459,0.125,128,1,8,32,1,4,180,0,69632
1200,375968,0.8635,0.125,128,1,8,32,1,4,180,0,69632
1216,381919,0.8462,0.125,128,1,8,32,1,4,180,0,69632
1232,391232,0.856,0.125,128,1,8,32,1,4,180,0,69632
1248,393919,0.8607,0.125,128,1,8,32,1,4,180,0,69632
1264,398048,0.8655,0.125,128,1,8,32,1,4,180,0,69632
1280,393600,0.8609,0.125,128,1,8,32,1,4,180,0,69632
1296,415935,0.8186,0.125,128,1,8,32,1,4,180,0,69632
1312,419040,0.8317,0.125,128,1,8,32,1,4,180,0,69632
1328,424671,0.8338,0.125,128,1,8,32,1,4,180,0,69632
1344,425951,0.8263,0.125,128,1,8,32,1,4,180,0,69632
1360,430975,0.8403,0.125,128,1,8,32,1,4,180,0,69632
1376,432320,0.8391,0.125,128,1,8,32,1,4,180,0,69632
1392,439231,0.8459,0.125,128,1,8,32,1,4,180,0,69632
1408,440032,0.8439,0.125,128,1,8,32,1,4,180,0,69632
1424,458207,0.8208,0.125,128,1,8,32,1,4,180,0,69632
1440,456256,0.8506,0.125,128,1,8,32,1,4,180,0,69632
1456,463775,0.8572,0.125,128,1,8,32,1,4,180,0,69632
1472,469664,0.8602,0.125,128,1,8,32,1,4,180,0,69632
1488,463744,0.8401,0.125,128,1,8,32,1,4,180,0,69632
1504,483327,0.8419,0.125,128,1,8,32,1,4,180,0,69632
1520,486815,0.8517,0.125,128,1,8,32,1,4,180,0,69632
1536,485855,0.8577,0.125,128,1,8,32,1,4,180,0,69632
1552,498335,0.8241,0.125,128,1,8,32,1,4,180,0,69632
1568,500640,0.8237,0.125,128,1,8,32,1,4,180,0,69632
1584,501535,0.8352,0.125,128,1,8,32,1,4,180,0,69632
1600,504127,0.8286,0.125,128,1,8,32,1,4,180,0,69632
1616,513184,0.8354,0.125,128,1,8,32,1,4,180,0,69632
1632,512832,0.8604,0.125,128,1,8,32,1,4,180,0,69632
1648,518623,0.8306,0.125,128,1,8,32,1,4,180,0,69632
1664,518847,0.8358,0.125,128,1,8,32,1,4,180,0,69632
1680,522112,0.8421,0.125,128,1,8,32,1,4,180,0,69632
1696,537279,0.8252,0.125,128,1,8,32,1,4,180,0,69632
1712,536223,0.8519,0.125,128,1,8,32,1,4,180,0,69632
1728,542623,0.8494,0.125,128,1,8,32,1,4,180,0,69632
1744,548863,0.8665,0.125,128,1,8,32,1,4,180,0,69632
1760,555360,0.8562,0.125,128,1,8,32,1,4,180,0,69632
1776,548095,0.8329,0.125,128,1,8,32,1,4,180,0,69632
1792,560927,0.8307,0.125,128,1,8,32,1,4,180,0,69632
1808,575552,0.8285,0.125,128,1,8,32,1,4,180,0,69632
1824,571647,0.8439,0.125,128,1,8,32,1,4,180,0,69632
1840,578815,0.8548,0.125,128,1,8,32,1,4,180,0,69632
1856,583775,0.8428,0.125,128,1,8,32,1,4,180,0,69632
1872,588703,0.8343,0.125,128,1,8,32,1,4,180,0,69632
1888,590368,0.8663,0.125,128,1,8,32,1,4,180,0,69632
1904,596287,0.8372,0.125,128,1,8,32,1,4,180,0,69632
1920,596767,0.8394,0.125,128,1,8,32,1,4,180,0,69632
1936,616351,0.8351,0.125,128,1,8,32,1,4,180,0,69632
1952,618015,0.8342,0.125,128,1,8,32,1,4,180,0,69632
1968,621375,0.8323,0.125,128,1,8,32,1,4,180,0,69632
1984,625631,0.8348,0.125,128,1,8,32,1,4,180,0,69632
2000,633087,0.839,0.125,128,1,8,32,1,4,180,0,69632
2016,633887,0.8378,0.125,128,1,8,32,1,4,180,0,69632
2032,627167,0.8477,0.125,128,1,8,32,1,4,180,0,69632
2048,645471,0.833,0.125,128,1,8,32,1,4,180,0,69632
2064,652063,0.8288,0.125,128,1,8,32,1,4,180,0,69632
2080,654624,0.827,0.125,128,1,8,32,1,4,180,0,69632
2096,663712,0.8279,0.125,128,1,8,32,1,4,180,0,69632
2112,671519,0.8343,0.125,128,1,8,32,1,4,180,0,69632
2128,667871,0.8472,0.125,128,1,8,32,1,4,180,0,69632
2144,676575,0.8378,0.125,128,1,8,32,1,4,180,0,69632
2160,674975,0.8463,0.125,128,1,8,32,1,4,180,0,69632
2176,676255,0.8433,0.125,128,1,8,32,1,4,180,0,69632
2192,689375,0.8323,0.125,128,1,8,32,1,4,180,0,69632
2208,690879,0.8351,0.125,128,1,8,32,1,4,180,0,69632
2224,695135,0.8416,0.125,128,1,8,32,1,4,180,0,69632
2240,702207,0.85,0.125,128,1,8,32,1,4,180,0,69632
2256,709759,0.8367,0.125,128,1,8,32,1,4,180,0,69632
2272,707903,0.8444,0.125,128,1,8,32,1,4,180,0,69632
2288,710911,0.8328,0.125,128,1,8,32,1,4,180,0,69632
2304,728159,0.8771,0.125,128,1,8,32,1,4,180,0,69632
2320,730463,0.8322,0.125,128,1,8,32,1,4,180,0,69632
2336,732736,0.8391,0.125,128,1,8,32,1,4,180,0,69632
2352,730304,0.8264,0.125,128,1,8,32,1,4,180,0,69632
2368,744863,0.8276,0.125,128,1,8,32,1,4,180,0,69632
2384,748351,0.8548,0.125,128,1,8,32,1,4,180,0,69632
2400,756031,0.8328,0.125,128,1,8,32,1,4,180,0,69632
2416,718238,0.8442,0.125,128,1,8,32,1,4,180,0,69632
2432,764350,0.8475,0.125,128,1,8,32,1,4,180,0,69632
2448,769503,0.8279,0.125,128,1,8,32,1,4,180,0,69632
2464,775519,0.8352,0.125,128,1,8,32,1,4,180,0,69632
2480,786110,0.8399,0.125,128,1,8,32,1,4,180,0,69632
2496,784479,0.843,0.125,128,1,8,32,1,4,180,0,69632
2512,788222,0.837,0.125,128,1,8,32,1,4,180,0,69632
2528,805406,0.8371,0.125,128,1,8,32,1,4,180,0,69632
2544,804062,0.8318,0.125,128,1,8,32,1,4,180,0,69632
2560,802015,0.8354,0.125,128,1,8,32,1,4,180,0,69632
2576,817471,0.8369,0.125,128,1,8,32,1,4,180,0,69632
2592,816382,0.8281,0.125,128,1,8,32,1,4,180,0,69632
2608,816671,0.8333,0.125,128,1,8,32,1,4,180,0,69632
2624,818655,0.8322,0.125,128,1,8,32,1,4,180,0,69632
2640,838846,0.8448,0.125,128,1,8,32,1,4,180,0,69632
2656,823423,0.8303,0.125,128,1,8,32,1,4,180,0,69632
2672,838047,0.8537,0.125,128,1,8,32,1,4,180,0,69632
2688,839583,0.811,0.125,128,1,8,32,1,4,180,0,69632
2704,856447,0.8375,0.125,128,1,8,32,1,4,180,0,69632
2720,860831,0.8391,0.125,128,1,8,32,1,4,180,0,69632
2736,867103,0.8414,0.125,128,1,8,32,1,4,180,0,69632
2752,856671,0.842,0.125,128,1,8,32,1,4,180,0,69632
2768,866047,0.8403,0.125,128,1,8,32,1,4,180,0,69632
2784,896799,0.8388,0.125,128,1,8,32,1,4,180,0,69632
2800,890431,0.8433,0.125,128,1,8,32,1,4,180,0,69632
2816,885023,0.8344,0.125,128,1,8,32,1,4,180,0,69632
2832,891678,0.8319,0.125,128,1,8,32,1,4,180,0,69632
2848,860223,0.8366,0.125,128,1,8,32,1,4,180,0,69632
2864,894782,0.83,0.125,128,1,8,32,1,4,180,0,69632
2880,893887,0.8317,0.125,128,1,8,32,1,4,180,0,69632
2896,887295,0.836,0.125,128,1,8,32,1,4,180,0,69632
2912,901374,0.8407,0.125,128,1,8,32,1,4,180,0,69632
2928,909119,0.841,0.125,128,1,8,32,1,4,180,0,69632
2944,921214,0.8531,0.125,128,1,8,32,1,4,180,0,69632
2960,931263,0.8323,0.125,128,1,8,32,1,4,180,0,69632
2976,940702,0.8526,0.125,128,1,8,32,1,4,180,0,69632
2992,940895,0.8368,0.125,128,1,8,32,1,4,180,0,69632
3008,952063,0.8456,0.125,128,1,8,32,1,4,180,0,69632
3024,937950,0.8434,0.125,128,1,8,32,1,4,180,0,69632
3040,945247,0.8471,0.125,128,1,8,32,1,4,180,0,69632
3056,972767,0.842,0.125,128,1,8,32,1,4,180,0,69632
3072,974846,0.8474,0.125,128,1,8,32,1,4,180,0,69632
3088,967935,0.8296,0.125,128,1,8,32,1,4,180,0,69632
3104,983519,0.8271,0.125,128,1,8,32,1,4,180,0,69632
3120,976766,0.8341,0.125,128,1,8,32,1,4,180,0,69632
3136,991998,0.8325,0.125,128,1,8,32,1,4,180,0,69632
3152,1008191,0.8531,0.125,128,1,8,32,1,4,180,0,69632
3168,992254,0.8423,0.125,128,1,8,32,1,4,180,0,69632
3184,1021951,0.8415,0.125,128,1,8,32,1,4,180,0,69632
3200,970783,0.8405,0.125,128,1,8,32,1,4,180,0,69632
3216,1005982,0.8316,0.125,128,1,8,32,1,4,180,0,69632
3232,1016703,0.8553,0.125,128,1,8,32,1,4,180,0,69632
3248,998207,0.8495,0.125,128,1,8,32,1,4,180,0,69632
3264,1021311,0.8465,0.125,128,1,8,32,1,4,180,0,69632
3280,1033823,0.8386,0.125,128,1,8,32,1,4,180,0,69632
3296,1036479,0.8449,0.125,128,1,8,32,1,4,180,0,69632
3312,1046430,0.8426,0.125,128,1,8,32,1,4,180,0,69632
3328,1034239,0.8268,0.125,128,1,8,32,1,4,180,0,69632
3344,1030303,0.8343,0.125,128,1,8,32,1,4,180,0,69632
