tokens,latency_ns
16,556062
32,563134
48,563358
64,566078
80,567677
96,569855
112,576702
128,579070
144,1052028
160,1060764
176,1055100
192,1059836
208,1063548
224,1067004
240,1069276
256,1071548
272,1210972
288,1214268
304,1216700
320,1223068
336,1225948
352,1230940
368,1242204
384,1249883
400,1714617
416,1717849
432,1720505
448,1719194
464,1728506
480,1730041
496,1735418
512,1736889
528,2011802
544,2014713
560,2016345
576,2021657
592,2023033
608,2024857
624,2030841
640,2033208
656,2375671
672,2381559
688,2384566
704,2388791
720,2393206
736,2208439
752,2032023
768,2042488
784,2393399
800,2400502
816,2401174
832,2422294
848,2431894
864,2443766
880,2453078
896,2463606
912,2638741
928,2646933
944,2666485
960,2681077
976,2687061
992,2701205
1008,2717365
1024,2723733
1040,2953780
1056,2955924
1072,2980564
1088,2993300
1104,3013972
1120,3029012
1136,3027540
1152,3049075
1168,3239603
1184,3250163
1200,3261042
1216,3268819
1232,3277843
1248,3288723
1264,3295891
1280,3303923
1296,3667633
1312,3675537
1328,3680593
1344,3696945
1360,3707056
1376,3715697
1392,3724337
1408,3729585
1424,3991504
1440,4002832
1456,4003280
1472,4011632
1488,4021647
1504,4028112
1520,4039503
1536,4048079
1552,4253742
1568,4258351
1584,4269391
1600,4272718
1616,4289230
1632,4294254
1648,4298735
1664,4305103
1680,4675885
1696,4688269
1712,4686797
1728,4700141
1744,4707884
1760,4714316
1776,4718029
1792,4725292
1808,4841420
1824,4850188
1840,4858252
1856,4866284
1872,4874956
1888,4883116
1904,4893932
1920,4902700
1936,5261995
1952,5265355
1968,5274218
1984,5286251
2000,5294283
2016,5299019
2032,5313002
2048,5322250
2064,5677641
2080,5684425
2096,5689961
2112,5699465
2128,5706409
2144,5713641
2160,5722312
2176,5730568
2192,5860168
2208,5861544
2224,5873960
2240,5885800
2256,5885224
2272,5904040
2288,5905896
2304,5911432
2320,6274694
2336,6286022
2352,6289062
2368,6298215
2384,6311590
2400,6312614
2416,6326503
2432,6332934
2448,6556709
2464,6558917
2480,6564037
2496,6574693
2512,6586885
2528,6600133
2544,6608165
2560,6615557
2576,6880740
2592,6889284
2608,6900548
2624,6904675
2640,6914372
2656,6927076
2672,6940771
2688,6941380
2704,7284131
2720,7291586
2736,7303202
2752,7291682
2768,7302531
2784,7319266
2800,7329090
2816,7340131
2832,7575850
2848,7577418
2864,7599563
2880,7605258
2896,7619658
2912,7637066
2928,7604874
2944,7620106
2960,7885897
2976,7891113
2992,7908426
3008,7921001
3024,7924809
3040,7938474
3056,7950761
3072,7960201
3088,8123849
3104,8156585
3120,8168808
3136,8180681
3152,8191208
3168,8183113
3184,8177001
3200,8200168
3216,8582728
3232,8603336
3248,8608776
3264,8611079
3280,8618696
3296,8626184
3312,8632903
3328,8656743
3344,8718631
3360,8763047
3376,8777895
3392,8777671
3408,8787143
3424,8792423
3440,8805479
3456,8842982
3472,9143718
3488,9150214
3504,9151398
3520,9164838
3536,9175238
3552,9176166
3568,9162630
3584,9192453
3600,9549317
3616,9561061
3632,9571204
3648,9536836
3664,9578885
3680,9591525
3696,9597668
3712,9564549
3728,9754757
3744,9755172
3760,9774725
3776,9740452
3792,9765156
3808,9798244
3824,9796676
3840,9817924
3856,10146819
3872,10160002
3888,10268995
3904,10005732
3920,10177251
3936,10110179
3952,10199810
3968,10210082
3984,10395618
4000,10292003
4016,10401090
4032,10438434
4048,10541538
4064,10246978
4080,10463298
4096,10648001
4112,10635874
4128,10766626
4144,10858241
4160,10618753
4176,10807293
4192,10865661
4208,10874077
4224,10875421
4240,11273693
4256,11073052
4272,11075612
4288,11151196
4304,11180828
4320,11095773
4336,11198332
4352,11158780
4368,11296892
4384,11423771
4400,11238491
4416,11445371
4432,11429179
4448,11373819
4464,11563194
4480,11394107
4496,11630587
4512,11595867
4528,11781978
4544,11671771
4560,11808890
4576,11803481
4592,11746874
4608,12018681
4624,11875322
4640,12198136
4656,11904282
4672,12331353
4688,11935962
4704,11982489
4720,12016570
4736,11967194
4752,12398808
4768,12225849
4784,12441464
4800,12332217
4816,12445976
4832,12394136
4848,12370968
4864,12445880
4880,12760279
4896,12700567
4912,12690551
4928,12930967
4944,12716728
4960,12730327
4976,12790614
4992,12763767
5008,12883511
5024,12921046
5040,13044726
5056,13091734
5072,12885046
5088,13076950
5104,13079254
5120,12907095
5136,13239445
5152,13428533
5168,13288822
5184,13255861
5200,13490356
5216,13511251
5232,13353204
5248,13496820
5264,13475412
5280,13737011
