tokens,latency_ns
16,1445564
32,1453595
48,1455227
64,1449915
80,1457114
96,1444667
112,1461147
128,1454266
144,1455291
160,1453179
176,1454426
192,1457083
208,1460922
224,1451675
240,1451290
256,1455258
272,1456410
288,1456666
304,1461754
320,1466587
336,1468411
352,1462810
368,1456762
384,1459003
400,1465499
416,1466779
432,1470491
448,1456890
464,1458107
480,1466650
496,1461850
512,1460059
528,1465403
544,1464346
560,1468123
576,1459002
592,1469595
608,1466395
624,1464219
640,1469114
656,1466266
672,1456411
688,1464603
704,1459227
720,1465627
736,1460954
752,1462779
768,1465435
784,1466458
800,1467259
816,1464699
832,1458266
848,1460859
864,1455355
880,1449211
896,1454970
912,1453403
928,1451451
944,1458811
960,1450907
976,1460987
992,1454075
1008,1453467
1024,1447803
1040,1450267
1056,1448634
1072,1460635
1088,1456442
1104,1456154
1120,1449275
1136,1458714
1152,1447419
1168,1452219
1184,1446939
1200,1449530
1216,1459803
1232,1452730
1248,1452123
1264,1418810
1280,1408859
1296,1408091
1312,1418682
1328,1416698
1344,1411995
1360,1418715
1376,1406843
1392,1419642
1408,1409851
1424,1420506
1440,1418491
1456,1416891
1472,1415131
1488,1415962
1504,1403644
1520,1411707
1536,1423162
1552,1417531
1568,1415515
1584,1418939
1600,1415963
1616,1419580
1632,1414171
1648,1395579
1664,1392315
1680,1392922
1696,1392123
1712,1396188
1728,1392410
1744,1396476
1760,1399579
1776,1396796
1792,1393500
1808,1397212
1824,1396282
1840,1396508
1856,1395162
1872,1399420
1888,1394298
1904,1395067
1920,1390298
1936,1398938
1952,1392539
1968,1397114
1984,1400026
2000,1400347
2016,1400444
2032,1395356
2048,1390588
2064,1389244
2080,1381916
2096,1381723
2112,1399738
2128,1379131
2144,1390300
2160,1388668
2176,1383867
2192,1389148
2208,1383228
2224,1385467
2240,1390139
2256,1379964
2272,1392795
2288,1389947
2304,1385116
2320,1390204
2336,1394298
2352,1385850
2368,1391642
2384,1389402
2400,1390268
2416,1383996
2432,1382204
2448,1387931
2464,1393370
2480,1390812
2496,1390748
2512,1388474
2528,1387132
2544,1381659
2560,1393114
2576,1394523
2592,1384668
2608,1399868
2624,1378076
2640,1390010
2656,1388986
2672,1385436
2688,1382394
2704,1390362
2720,1375995
2736,1392731
2752,1385148
2768,1386394
2784,1391259
2800,1396635
2816,1397115
2832,1384122
2848,1389788
2864,1392890
2880,1394364
2896,1395994
2912,1395419
2928,1389308
2944,1395259
2960,1389018
2976,1391484
2992,1387964
3008,1399131
3024,1388059
3040,1395003
3056,1397274
3072,1388060
3088,1388540
3104,1389018
3120,1388090
3136,1396219
3152,1392186
3168,1396572
3184,1395323
3200,1393948
3216,1392284
3232,1397691
3248,1394618
3264,1400220
3280,1389819
3296,1399835
3312,1395003
3328,1399004
3344,1397115
3360,1399610
3376,1389307
3392,1393851
3408,1391099
3424,1386555
3440,1395323
3456,1398171
3472,1394075
3488,1393883
3504,1397916
3520,1398202
3536,1401979
3552,1392283
3568,1402427
3584,1399387
3600,1387962
3616,1396731
3632,1390171
3648,1400283
3664,1397499
3680,1394426
3696,1392571
3712,1399866
3728,1395899
3744,1396154
3760,1394555
3776,1395450
3792,1399515
3808,1393338
3824,1399322
3840,1403932
3856,1394332
3872,1389787
3888,1389691
3904,1399195
3920,1390842
3936,1394972
3952,1402395
3968,1397147
3984,1397146
4000,1404187
4016,1399770
4032,1402203
4048,1400603
4064,1390202
4080,1400220
4096,1401372
4112,1395387
4128,1399804
4144,1406938
4160,1397531
4176,1405659
4192,1396250
4208,1406075
4224,1396666
4240,1413403
4256,1390299
4272,1402747
4288,1404123
4304,1407579
4320,1406170
4336,1400763
4352,1403450
4368,1405659
4384,1397211
4400,1398331
4416,1399324
4432,1402490
4448,1409147
4464,1398010
4480,1398459
4496,1405563
4512,1396252
4528,1401594
4544,1402779
4560,1404379
4576,1398300
4592,1397404
4608,1402971
4624,1404987
4640,1392507
4656,1403226
4672,1403706
4688,1402619
4704,1410267
4720,1410011
4736,1400187
4752,1395451
4768,1410875
4784,1401947
4800,1399611
4816,1392315
4832,1400090
4848,1405499
4864,1400348
4880,1401819
4896,1407066
4912,1402170
4928,1407067
4944,1402203
4960,1403003
4976,1399836
4992,1409467
5008,1402780
5024,1407866
5040,1397466
5056,1401915
5072,1406202
5088,1406011
5104,1402490
5120,1410618
5136,1409723
5152,1406042
5168,1415546
5184,1405532
5200,1406107
5216,1408794
5232,1403995
5248,1401243
5264,1407259
5280,1406652
5296,1414684
5312,1404635
5328,1404154
5344,1404635
5360,1410043
5376,1414938
5392,1418618
5408,1402907
5424,1397978
5440,1411035
5456,1411004
5472,1400956
5488,1410204
5504,1406780
5520,1410747
5536,1410010
5552,1403004
5568,1411324
5584,1407836
5600,1417212
5616,1406812
5632,1413820
5648,1409594
5664,1410236
5680,1409434
5696,1400155
5712,1407036
5728,1408956
5744,1406012
5760,1412412
5776,1410716
5792,1404411
5808,1409948
5824,1406458
5840,1406716
5856,1413180
5872,1407706
5888,1414012
5904,1412667
5920,1404508
5936,1415196
5952,1411612
5968,1408668
5984,1411802
6000,1411131
6016,1413338
6032,1419324
6048,1405404
6064,1403804
6080,1416154
6096,1413948
6112,1404730
6128,1411644
6144,1408796
6160,1413436
6176,1412059
6192,1408059
6208,1410554
6224,1414075
6240,1416668
6256,1414268
6272,1411068
6288,1409372
6304,1406586
6320,1414427
6336,1412186
6352,1414555
6368,1414620
6384,1410715
6400,1406906
6416,1411196
6432,1416380
6448,1406300
6464,1415228
6480,1414844
6496,1411098
6512,1415866
6528,1408570
6544,1420731
6560,1410524
6576,1416155
6592,1405947
6608,1420988
6624,1408220
6640,1413532
6656,1415835
6672,1416090
6688,1417050
6704,1420058
6720,1408028
6736,1410300
6752,1414908
6768,1414714
6784,1413852
6800,1407451
6816,1409242
6832,1413244
6848,1410940
6864,1416700
6880,1410843
6896,1420092
6912,1414428
6928,1412922
6944,1419866
6960,1418074
6976,1419099
6992,1413372
7008,1418170
7024,1411356
7040,1421275
7056,1419706
7072,1413212
7088,1421212
7104,1408348
7120,1418939
7136,1422140
7152,1414492
