tokens,latency_ns
16,34240
32,35455
48,32672
64,33120
80,33152
96,33056
112,33920
128,33952
144,49888
160,50400
176,50592
192,51136
208,50944
224,51552
240,51808
256,53023
272,52767
288,53343
304,53024
320,53760
336,55040
352,55071
368,54911
384,55648
400,74208
416,73952
432,74015
448,78272
464,79200
480,79423
496,80447
512,80096
528,82335
544,82592
560,83360
576,83551
592,83328
608,84416
624,84576
640,85247
656,103103
672,102367
688,103615
704,102784
720,103456
736,105471
752,106144
768,105216
784,122112
800,122944
816,122623
832,126975
848,121792
864,122272
880,125695
896,127168
912,128544
928,131615
944,130880
960,131071
976,131808
992,135359
1008,136704
1024,132672
1040,148256
1056,149248
1072,150880
1088,150239
1104,149983
1120,153887
1136,153023
1152,153728
1168,154592
1184,156000
1200,157695
1216,157471
1232,158911
1248,159360
1264,149920
1280,153791
1296,164479
1312,168096
1328,168320
1344,170815
1360,168095
1376,167999
1392,168960
1408,170879
1424,182367
1440,183295
1456,184703
1472,184928
1488,185247
1504,184992
1520,185856
1536,187103
1552,192160
1568,190816
1584,190975
1600,191423
1616,192575
1632,193503
1648,186559
1664,186623
1680,199775
1696,200896
1712,202079
1728,201407
1744,202463
1760,202976
1776,204159
1792,204703
1808,207455
1824,208255
1840,208767
1856,209568
1872,210143
1888,209984
1904,210784
1920,211936
1936,223199
1952,225728
1968,224703
1984,225535
2000,226143
2016,226400
2032,227519
2048,225728
2064,235327
2080,236000
2096,237408
2112,238048
2128,239519
2144,239647
2160,240415
2176,242431
2192,243199
2208,245471
2224,245375
2240,246623
2256,247871
2272,249183
2288,249855
2304,250783
2320,260543
2336,261887
2352,261311
2368,262463
2384,263327
2400,263743
2416,264799
2432,265407
2448,268031
2464,268703
2480,269215
2496,271711
2512,270847
2528,273855
2544,275167
2560,274943
2576,285087
2592,285503
2608,285151
2624,289055
2640,288031
2656,288415
2672,289439
2688,290271
2704,299487
2720,300255
2736,301471
2752,301215
2768,301439
2784,303551
2800,304383
2816,304735
2832,309279
2848,308222
2864,310367
2880,311103
2896,311871
2912,318463
2928,312927
2944,314750
2960,323327
2976,324447
2992,326975
3008,325886
3024,329470
3040,329055
3056,329119
3072,329567
3088,332223
3104,333471
3120,334431
3136,335230
3152,336447
3168,337663
3184,335999
3200,338399
3216,346590
3232,348223
3248,349535
3264,349662
3280,350975
3296,351679
3312,353023
3328,353086
3344,356479
3360,357535
3376,358846
3392,359647
3408,360351
3424,362111
3440,361022
3456,363200
3472,371487
3488,372607
3504,372671
3520,374494
3536,374398
3552,377119
3568,375775
3584,378175
3600,386623
3616,388639
3632,388606
3648,390975
3664,392254
3680,392671
3696,393855
3712,395038
3728,396863
3744,397886
3760,399038
3776,399806
3792,399743
3808,401086
3824,402142
3840,402911
3856,413950
3872,415007
3888,416319
3904,415550
3920,417503
3936,417598
3952,418655
3968,419422
3984,421439
4000,422526
4016,424319
4032,425023
4048,425342
4064,427134
4080,427263
4096,428575
4112,436446
4128,438335
4144,438974
4160,439678
4176,440958
4192,441118
4208,442750
4224,443134
4240,454494
4256,454975
4272,455359
4288,455839
4304,457151
4320,458047
4336,459678
4352,461502
4368,462014
4384,462463
4400,463966
4416,464158
4432,465918
4448,466879
4464,466558
4480,467359
4496,478495
4512,478910
4528,480447
4544,481246
4560,483103
4576,483966
4592,483358
4608,484126
4624,487326
4640,488575
4656,489855
4672,491166
4688,490846
4704,491998
4720,491902
4736,493438
4752,502782
4768,502686
4784,505534
4800,506047
4816,506494
4832,506046
4848,507390
4864,507519
4880,517406
4896,519326
4912,520830
4928,521310
4944,523166
4960,522558
4976,524222
4992,522846
5008,527006
5024,528766
5040,526622
5056,530686
5072,531070
5088,531614
5104,531486
5120,532542
5136,543454
5152,543358
5168,545438
5184,546687
5200,547198
5216,548606
5232,548126
5248,550430
5264,551902
5280,552318
5296,553438
5312,554238
5328,556126
5344,556990
5360,555966
5376,557662
5392,567422
5408,569885
5424,568574
5440,570270
5456,566111
5472,570078
5488,569534
5504,573662
5520,580478
5536,581759
5552,585310
5568,586590
5584,585630
5600,586558
5616,585726
5632,589982
5648,592542
5664,591678
5680,593310
5696,594462
5712,595742
5728,596478
5744,596830
5760,597630
5776,607390
5792,609694
5808,608030
5824,610782
5840,610558
5856,611454
5872,613566
5888,613758
5904,617886
5920,618302
5936,616030
5952,619389
5968,621630
5984,623326
6000,622494
6016,622494
6032,632318
6048,633566
6064,635198
6080,635709
6096,634846
6112,637310
6128,637885
6144,641598
6160,647134
6176,646910
6192,647678
6208,647806
6224,649406
6240,651805
6256,653917
6272,653118
6288,656862
6304,659422
6320,660222
6336,658206
6352,660958
6368,663390
6384,661662
6400,662750
6416,674974
6432,675198
6448,677182
6464,676830
6480,677981
6496,676414
6512,678109
6528,679358
6544,681342
6560,684478
6576,683966
6592,686333
6608,680862
6624,684893
6640,686206
6656,684478
6672,696030
6688,698942
6704,698782
6720,704029
6736,703613
6752,697149
6768,700286
6784,698814
6800,703198
6816,706334
6832,707837
6848,709726
6864,706622
6880,714270
6896,709630
6912,710654
6928,720157
6944,719645
6960,724541
6976,726333
6992,727358
7008,730205
7024,730558
7040,728350
7056,740670
7072,742014
7088,743581
7104,743486
7120,744157
7136,742942
7152,745086
7168,747133
7184,748797
7200,750493
7216,752350
7232,753917
7248,753309
7264,754493
7280,756574
7296,756734
7312,765598
7328,768766
7344,767133
7360,771358
7376,770110
7392,772414
7408,772829
7424,772638
7440,777885
7456,777693
7472,780285
7488,782749
7504,782173
7520,779421
7536,782846
7552,784222
7568,792349
7584,792093
7600,791581
7616,793341
7632,794941
7648,795006
7664,797470
7680,798621
7696,803838
7712,806014
7728,808861
7744,809693
7760,809854
7776,809598
7792,813757
7808,814238
7824,817597
7840,818685
7856,818653
7872,821917
7888,820925
7904,822078
7920,821949
7936,824221
7952,838110
7968,834558
7984,835997
8000,835453
8016,836542
8032,839421
8048,837245
8064,836605
8080,845821
8096,844861
8112,845758
8128,846718
8144,848797
8160,849437
8176,848477
8192,846334
