tokens,latency_ns
16,222430
32,221439
48,215936
64,215168
80,219295
96,220607
112,224639
128,225215
144,230047
160,229343
176,232127
192,232159
208,232607
224,236607
240,237759
256,238207
272,238399
288,240224
304,238431
320,241375
336,374783
352,375647
368,377567
384,376351
400,377630
416,376542
432,378270
448,408895
464,412223
480,414847
496,414590
512,414143
528,416862
544,417118
560,416062
576,417599
592,422654
608,419998
624,420703
640,421471
656,422334
672,419774
688,421662
704,422526
720,425214
736,426654
752,357311
768,362366
784,363935
800,366047
816,490462
832,491006
848,492703
864,491806
880,513342
896,518430
912,521950
928,522718
944,525854
960,527486
976,522622
992,524158
1008,523070
1024,526334
1040,529054
1056,532414
1072,532894
1088,533406
1104,538910
1120,540254
1136,536926
1152,535838
1168,538334
1184,540094
1200,547070
1216,551966
1232,552446
1248,554174
1264,553246
1280,558237
1296,664958
1312,684221
1328,684734
1344,685182
1360,690173
1376,686909
1392,695582
1408,691037
1424,695485
1440,698109
1456,697533
1472,699197
1488,700765
1504,702813
1520,702077
1536,704734
1552,705917
1568,708253
1584,709565
1600,712413
1616,832509
1632,838621
1648,841597
1664,840316
1680,844125
1696,847133
1712,848188
1728,852221
1744,864861
1760,869021
1776,867356
1792,866684
1808,872028
1824,873628
1840,874173
1856,876764
1872,877053
1888,879228
1904,882141
1920,882365
1936,880540
1952,883260
1968,884765
1984,887452
2000,890332
2016,891228
2032,892125
2048,895517
2064,901884
2080,904604
2096,1015868
2112,1017596
2128,1019548
2144,1022651
2160,1026524
2176,1035292
2192,1038172
2208,1040252
2224,1041211
2240,1045276
2256,1044220
2272,1043995
2288,1048859
2304,1047707
2320,1051932
2336,1052507
2352,1054427
2368,1057628
2384,1060219
2400,1061468
2416,1063868
2432,1065275
2448,1066652
2464,1069148
2480,1073308
2496,1079515
2512,1081787
2528,1084060
2544,1087195
2560,1088924
2576,1206171
2592,1209275
2608,1213115
2624,1217915
2640,1217371
2656,1221083
2672,1222619
2688,1223131
2704,1226363
2720,1230427
2736,1229691
2752,1225883
2768,1230587
2784,1232475
2800,1232411
2816,1235739
2832,1242907
2848,1243933
2864,1248061
2880,1252956
2896,1367292
2912,1370300
2928,1377692
2944,1379548
2960,1378396
2976,1380092
2992,1381820
3008,1390396
3024,1386844
3040,1395068
3056,1394524
3072,1395868
3088,1398940
3104,1399420
3120,1398652
3136,1403548
3152,1402108
3168,1408988
3184,1417788
3200,1417340
3216,1414684
3232,1415388
3248,1420444
3264,1423740
3280,1424028
3296,1425724
3312,1427644
3328,1431996
3344,1448956
3360,1447068
3376,1555132
3392,1556731
3408,1555836
3424,1556988
3440,1558396
3456,1561532
3472,1564956
3488,1574332
3504,1577467
3520,1576667
3536,1577308
3552,1578428
3568,1585275
3584,1587035
3600,1584348
3616,1588380
3632,1592251
3648,1601051
3664,1600348
3680,1599068
3696,1599644
3712,1610428
3728,1608571
3744,1608795
3760,1613179
3776,1627515
3792,1624475
3808,1627356
3824,1629467
3840,1631739
3856,1736380
3872,1742043
3888,1782171
3904,1756731
3920,1750395
3936,1751259
3952,1756347
3968,1755163
3984,1758939
4000,1758427
4016,1757179
4032,1760443
4048,1798491
4064,1767163
4080,1766587
4096,1829339
4112,1793051
4128,1779419
4144,1815994
4160,1799962
4176,1788858
4192,1823834
4208,1828858
4224,1828730
4240,1850170
4256,1795642
4272,1809082
4288,1805466
4304,1809466
4320,1820794
4336,1921434
4352,1945945
4368,1929338
4384,1929433
4400,1932442
4416,1930650
4432,1976890
4448,1937882
4464,1999290
4480,1945753
4496,1946010
4512,1962330
4528,1950394
4544,1968793
4560,1962138
4576,2018938
4592,1961626
4608,2047674
4624,1975385
4640,2048729
4656,2108153
4672,2202489
4688,2088473
4704,2138553
4720,2097946
4736,2118714
4752,2101017
4768,2122425
4784,2102489
4800,2125401
4816,2175161
4832,2111705
4848,2152889
4864,2113849
4880,2113946
4896,2137273
4912,2124601
4928,2208569
4944,2131513
4960,2132665
4976,2130553
4992,2133593
5008,2153817
5024,2159321
5040,2148057
5056,2252185
5072,2138617
5088,2151993
5104,2157753
5120,2152249
5136,2273273
5152,2269753
5168,2298297
5184,2279193
5200,2279737
5216,2403960
5232,2305144
5248,2283608
5264,2306520
5280,2409336
5296,2288536
5312,2287481
5328,2295449
5344,2366232
5360,2319224
5376,2305561
5392,2346297
5408,2331832
5424,2315352
5440,2328504
5456,2463064
5472,2338841
5488,2330424
5504,2417496
5520,2396696
5536,2344601
5552,2340504
5568,2351576
5584,2456344
5600,2484056
5616,2477400
5632,2456215
5648,2470360
5664,2587127
5680,2619479
5696,2484696
5712,2475000
5728,2541496
5744,2627544
5760,2626615
5776,2486744
5792,2479736
5808,2489367
5824,2639159
5840,2639959
5856,2646935
5872,2648183
5888,2511256
5904,2502648
5920,2503320
5936,2618936
5952,2630071
5968,2679927
5984,2725367
6000,2787063
6016,2792087
6032,2795575
6048,2717335
6064,2616215
6080,2654583
6096,2745433
6112,2859032
6128,2828952
6144,2829176
6160,2797081
6176,2861816
6192,2862040
6208,2719449
6224,2685816
6240,2817881
6256,2881272
6272,2882744
6288,2890425
6304,2848600
6320,2843162
6336,2742777
6352,2694393
6368,2784568
6384,2874616
6400,2946168
6416,3065943
6432,2990456
6448,2869240
6464,2833336
6480,2813529
6496,2795609
6512,2788697
6528,2813049
6544,2810392
6560,2879384
6576,3074488
6592,3071608
6608,3037560
6624,2940664
6640,2866264
6656,2866296
6672,2838136
6688,2849080
6704,2829656
6720,2835352
6736,2836472
6752,2852216
6768,2852952
6784,3018104
6800,3152600
6816,3034104
6832,2900504
6848,2871033
6864,2860249
6880,2862776
6896,3142488
6912,3210680
6928,3252216
6944,3069625
6960,2998584
6976,2973785
6992,3088376
7008,3262007
7024,3225496
7040,3094232
7056,3235832
7072,3073721
7088,3236440
7104,3276792
7120,3077528
7136,3027352
7152,3178168
7168,3285720
7184,3183384
7200,3068120
7216,3120536
7232,3423832
7248,3425719
7264,3208920
7280,3211608
7296,3429975
7312,3217272
7328,3185144
7344,3440695
7360,3285111
7376,3175864
7392,3408632
7408,3417848
7424,3207704
7440,3226359
7456,3523351
7472,3301560
7488,3334200
7504,3529655
7520,3305784
7536,3267896
7552,3591287
7568,3277847
7584,3250679
7600,3555191
7616,3334871
7632,3262616
7648,3605527
7664,3290423
7680,3363543
7696,3569750
7712,3377976
7728,3734006
7744,3465559
7760,3442839
7776,3415383
7792,3566775
7808,3583063
7824,3414583
7840,3695927
7856,3474007
7872,3527702
7888,3680342
7904,3395000
7920,3739894
7936,3427031
7952,3661846
7968,3406135
7984,3708919
8000,3413751
8016,3633527
8032,3423351
8048,3750903
8064,3426999
8080,3562647
8096,3457143
8112,3694358
8128,3464503
8144,3591703
8160,3470102
8176,3616951
8192,3659575
