model,batch_size,id,latency_ns
llama3_8b,128,1,570368
llama3_8b,128,10,581184
llama3_8b,128,100,636352
llama3_8b,128,11,608064
llama3_8b,128,12,651488
llama3_8b,128,13,610912
llama3_8b,128,14,632768
llama3_8b,128,15,576416
llama3_8b,128,16,572256
llama3_8b,128,17,654528
llama3_8b,128,18,651552
llama3_8b,128,19,628640
llama3_8b,128,2,598528
llama3_8b,128,20,626176
llama3_8b,128,21,607040
llama3_8b,128,22,596640
llama3_8b,128,23,547936
llama3_8b,128,24,660544
llama3_8b,128,25,617056
llama3_8b,128,26,605568
llama3_8b,128,27,619296
llama3_8b,128,28,634464
llama3_8b,128,29,610048
llama3_8b,128,3,599488
llama3_8b,128,30,628160
llama3_8b,128,31,598080
llama3_8b,128,32,597248
llama3_8b,128,33,617856
llama3_8b,128,34,619232
llama3_8b,128,35,598432
llama3_8b,128,36,594272
llama3_8b,128,37,615104
llama3_8b,128,38,582592
llama3_8b,128,39,624768
llama3_8b,128,4,624672
llama3_8b,128,40,601664
llama3_8b,128,41,602752
llama3_8b,128,42,611392
llama3_8b,128,43,642112
llama3_8b,128,44,612000
llama3_8b,128,45,630176
llama3_8b,128,46,660960
llama3_8b,128,47,646656
llama3_8b,128,48,595360
llama3_8b,128,49,646656
llama3_8b,128,5,541152
llama3_8b,128,50,593920
llama3_8b,128,51,608032
llama3_8b,128,52,580320
llama3_8b,128,53,627520
llama3_8b,128,54,632544
llama3_8b,128,55,650912
llama3_8b,128,56,568832
llama3_8b,128,57,583616
llama3_8b,128,58,603840
llama3_8b,128,59,619520
llama3_8b,128,6,598816
llama3_8b,128,60,604928
llama3_8b,128,61,636416
llama3_8b,128,62,649952
llama3_8b,128,63,614240
llama3_8b,128,64,596704
llama3_8b,128,65,581120
llama3_8b,128,66,613312
llama3_8b,128,67,600896
llama3_8b,128,68,605536
llama3_8b,128,69,666496
llama3_8b,128,7,614880
llama3_8b,128,70,564064
llama3_8b,128,71,613504
llama3_8b,128,72,581856
llama3_8b,128,73,603456
