in,out
5312,1
7392,1
1632,1
1152,1
816,1
5904,1
2800,1
4672,1
2560,1
544,1
1856,1
1872,1
5408,1
720,1
7568,1
1712,1
7168,1
5696,1
4032,1
2912,1
3648,1
240,1
5712,1
7248,1
2992,1
640,1
112,1
6000,1
5376,1
4496,1
4512,1
8160,1
4944,1
2592,1
1328,1
6640,1
5696,1
128,1
6320,1
2448,1
6352,1
288,1
6928,1
2560,1
3552,1
1584,1
5216,1
912,1
7072,1
4048,1
6336,1
1984,1
2496,1
336,1
2224,1
7904,1
3856,1
3296,1
6880,1
2640,1
3072,1
6400,1
4784,1
5040,1
112,1
944,1
5456,1
6336,1
7232,1
1648,1
4448,1
4048,1
5424,1
8112,1
6080,1
3168,1
992,1
5104,1
4960,1
2144,1
2704,1
5232,1
496,1
512,1
4304,1
2624,1
3264,1
4848,1
2160,1
5904,1
2656,1
6576,1
7072,1
7264,1
2624,1
4016,1
7360,1
6976,1
4640,1
2528,1
5296,1
1088,1
6688,1
6896,1
3232,1
2608,1
3808,1
2992,1
2128,1
6880,1
2400,1
4832,1
1184,1
7840,1
2128,1
4144,1
1344,1
1456,1
6672,1
6720,1
2304,1
7200,1
7008,1
5984,1
5936,1
432,1
4432,1
4000,1
